[2026-08-11 18:03:16 UTC] === СТАРТ. окон всего 8147, уже сделано 0, к работе 8147 ===
[2026-08-11 18:03:16 UTC] свободно на диске 29.5 ГБ, пауза 0.4 с, стоп-флаг /var/lib/github_export/backfill.STOP
[2026-08-11 18:06:51 UTC] 97/8147 | ETCUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +233286 | темп 1629 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:55 UTC] 99/8147 | CRVUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +237606 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:06:57 UTC] 100/8147 | WLDUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +240486 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.4 ГБ
[2026-08-11 18:07:01 UTC] 102/8147 | ENAUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +244806 | темп 1633 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:05 UTC] 104/8147 | IMXUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +247686 | темп 1638 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:10 UTC] 106/8147 | FIDAUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +252006 | темп 1637 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:12 UTC] 107/8147 | UNIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +254886 | темп 1635 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:15 UTC] 108/8147 | BICOUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +257766 | темп 1633 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:17 UTC] 109/8147 | APTUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +260646 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:19 UTC] 110/8147 | SUIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +263526 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:22 UTC] 111/8147 | AAVEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +266406 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:24 UTC] 112/8147 | KASUSDT 2026-08-07: +2880 свечей (прогнозов ждало 3) | всего +269286 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:26 UTC] 113/8147 | WIFUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +272166 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:28 UTC] 114/8147 | ARBUSDT 2026-08-07: +2880 свечей (прогнозов ждало 5) | всего +275046 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:31 UTC] 115/8147 | BCHUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +277926 | темп 1629 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:33 UTC] 116/8147 | VIRTUALUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +280806 | темп 1627 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:37 UTC] 118/8147 | GMTUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +285126 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:39 UTC] 119/8147 | FILUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +288006 | темп 1631 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:41 UTC] 120/8147 | HYPEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +290886 | темп 1631 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:43 UTC] 121/8147 | JUPUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +293766 | темп 1631 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:46 UTC] 122/8147 | RENDERUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +296646 | темп 1631 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:49 UTC] 123/8147 | ONDOUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +299526 | темп 1627 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:51 UTC] 124/8147 | POLUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +302406 | темп 1625 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:54 UTC] 125/8147 | CAKEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +305286 | темп 1622 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:56 UTC] 126/8147 | OPUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +308166 | темп 1621 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:07:59 UTC] 127/8147 | WOOUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +311046 | темп 1617 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:01 UTC] 128/8147 | ETHFIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 13) | всего +313926 | темп 1616 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:04 UTC] 129/8147 | INJUSDT 2026-08-07: +2880 свечей (прогнозов ждало 4) | всего +316806 | темп 1617 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:06 UTC] 130/8147 | C98USDT 2026-08-07: +2880 свечей (прогнозов ждало 3) | всего +319686 | темп 1616 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:08 UTC] 131/8147 | VETUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +322566 | темп 1615 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:11 UTC] 133/8147 | APRUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +325446 | темп 1623 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:14 UTC] 134/8147 | COTIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +328326 | темп 1623 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:16 UTC] 135/8147 | AXSUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +331206 | темп 1623 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:18 UTC] 136/8147 | PLUMEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 3) | всего +334086 | темп 1623 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:21 UTC] 137/8147 | ALICEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +336966 | темп 1622 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:23 UTC] 138/8147 | STGUSDT 2026-08-07: +2880 свечей (прогнозов ждало 20) | всего +339846 | темп 1618 окон/ч, осталось ~5.0 ч | диск 29.3 ГБ
[2026-08-11 18:08:28 UTC] 140/8147 | SEIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +344166 | темп 1620 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:31 UTC] 142/8147 | PENDLEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 2) | всего +348486 | темп 1623 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:34 UTC] 143/8147 | ORDIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +351366 | темп 1619 окон/ч, осталось ~4.9 ч | диск 29.3 ГБ
[2026-08-11 18:08:41 UTC] 147/8147 | YGGUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +357126 | темп 1630 окон/ч, осталось ~4.9 ч | диск 29.2 ГБ
[2026-08-11 18:08:43 UTC] 148/8147 | FARTCOINUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +360006 | темп 1629 окон/ч, осталось ~4.9 ч | диск 29.2 ГБ
[2026-08-11 18:08:46 UTC] 149/8147 | SUSHIUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +362886 | темп 1628 окон/ч, осталось ~4.9 ч | диск 29.2 ГБ
[2026-08-11 18:08:48 UTC] 150/8147 | SKLUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +365766 | темп 1628 окон/ч, осталось ~4.9 ч | диск 29.2 ГБ
[2026-08-11 18:08:51 UTC] 151/8147 | BOMEUSDT 2026-08-07: +2880 свечей (прогнозов ждало 1) | всего +368646 | темп 1625 окон/ч, осталось ~4.9 ч | диск 29.2 ГБ
